"","All.proteins.identfied.from.the.prostasome.fraction","X","X.1","X.2","X.3","X.4","V1"
"186","Q12906","Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3","0.7005","0.178898016","2","0.52062","ILF3"
"187","P05231","Interleukin-6 OS=Homo sapiens GN=IL6 PE=1 SV=1","0.101142857","0.071029839","28","0.0063","IL6"
"188","Q9Y337","Kallikrein-5 OS=Homo sapiens GN=KLK5 PE=1 SV=1","0.266","0.009899495","2","0.01022","KLK5"
"189","Q92876","Kallikrein-6 OS=Homo sapiens GN=KLK6 PE=1 SV=1","0.551578947","0.081514359","19","0.02242","KLK6"
"190","P05783","Keratin, type I cytoskeletal 18 OS=Homo sapiens GN=KRT18 PE=1 SV=2","0.535","0.0888723","8","0.03809","KRT18"
"191","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2","0.2085","0.020506097","2","0.00615","KRT2"
"192","P08729","Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=4","0.424692308","0.116263626","13","0.0133","KRT7"
"193","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens GN=KRT8 PE=1 SV=7","0.809666667","0.12697912","12","0.82898","KRT8"
"194","P02788","Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6","0.012","0.007211103","3","0.00065","LTF"
"195","Q04760","Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4","0.927375","0.115637869","16","0.96844","GLO1"
"196","Q16787","Laminin subunit alpha-3 OS=Homo sapiens GN=LAMA3 PE=1 SV=2","0.3212","0.112530885","5","0.00814","LAMA3"
"197","Q01650","Large neutral amino acids transporter small subunit 1 OS=Homo sapiens GN=SLC7A5 PE=1 SV=2","0.365666667","0.10135252","3","0.01572","SLC7A5"
"198","Q9BS40","Latexin OS=Homo sapiens GN=LXN PE=1 SV=2","1.9645","1.15836163","4","0.06502","LXN"
"199","Q99538","Legumain OS=Homo sapiens GN=LGMN PE=1 SV=1","0.50675","0.190120826","8","0.02343","LGMN"
"200","P00338","L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2","1.252123656","0.238484519","186","0.75739","LDHA"
"201","Q9BYZ2","L-lactate dehydrogenase A-like 6B OS=Homo sapiens GN=LDHAL6B PE=1 SV=3","1.167","0.133234487","29","0.9217","LDHAL6B"
"202","P07195","L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2","0.724327273","0.091083499","110","0.35162","LDHB"
"203","P10619","Lysosomal protective protein OS=Homo sapiens GN=CTSA PE=1 SV=2","1.450357143","0.323850537","14","0.36146","CTSA"
"204","P42785","Lysosomal Pro-X carboxypeptidase OS=Homo sapiens GN=PRCP PE=1 SV=1","0.800882353","0.127386166","17","0.82359","PRCP"
"205","P14174","Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4","0.4795","0.111527276","4","0.04236","MIF"
"206","P40925","Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4","0.6820625","0.64165146","16","0.31115","MDH1"
"207","P40926","Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3","1.975757576","6.330918363","33","0.01251","MDH2"
"208","P01033","Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1","2.020351351","1.641695959","37","0.01313","TIMP1"
"209","P16035","Metalloproteinase inhibitor 2 OS=Homo sapiens GN=TIMP2 PE=1 SV=2","0.627333333","0.18048915","3","0.30403","TIMP2"
"210","P26038","Moesin OS=Homo sapiens GN=MSN PE=1 SV=3","0.604693548","0.152818073","62","0.02231","MSN"
"211","P22234","Multifunctional protein ADE2 OS=Homo sapiens GN=PAICS PE=1 SV=3","0.699153846","0.308591112","13","0.41608","PAICS"
"212","Q9UNW1","Multiple inositol polyphosphate phosphatase 1 OS=Homo sapiens GN=MINPP1 PE=1 SV=1","0.686333333","0.176094672","3","0.46365","MINPP1"
"213","P35580","Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3","0.308916667","0.054259408","12","0.0073","MYH10"
"214","P35579","Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4","0.328","0.17154941","6","0.00937","MYH9"
"215","P29966","Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4","0.334","0.10323759","2","0.02191","MARCKS"
"216","O14786","Neuropilin-1 OS=Homo sapiens GN=NRP1 PE=1 SV=3","0.772142857","0.017929757","7","0.71093","NRP1"
"217","Q14697","Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3","0.508776316","0.239315557","76","0.0186","GANAB"
"218","Q15758","Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2","0.296","0.137133512","6","0.00803","SLC1A5"
"219","P80188","Neutrophil gelatinase-associated lipocalin OS=Homo sapiens GN=LCN2 PE=1 SV=2","0.420186603","0.075122519","209","0.04747","LCN2"
"220","P43490","Nicotinamide phosphoribosyltransferase OS=Homo sapiens GN=NAMPT PE=1 SV=1","1.0406","0.259831291","5","0.97328","NAMPT"
"221","Q13253","Noggin OS=Homo sapiens GN=NOG PE=1 SV=1","0.1575","0.217081782","2","0.00414","NOG"
"222","P67809","Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3","0.5538","0.084108264","5","0.094","YBX1"
"223","P19338","Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3","0.82647619","0.196656595","42","0.88369","NCL"
"224","P06748","Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2","1.025","0.95976043","73","0.98571","NPM1"
"225","P15531","Nucleoside diphosphate kinase A OS=Homo sapiens GN=NME1 PE=1 SV=1","0.887984127","0.716651409","63","0.9357","NME1"
"226","P22392","Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1","0.715","0.047835134","21","0.46372","NME2"
"227","Q9NTK5","Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=2","0.714666667","0.049398887","9","0.50361","OLA1"
"228","Q9NRN5","Olfactomedin-like protein 3 OS=Homo sapiens GN=OLFML3 PE=2 SV=1","1.0788","2.002182734","5","0.94693","OLFML3"
"229","P50897","Palmitoyl-protein thioesterase 1 OS=Homo sapiens GN=PPT1 PE=1 SV=1","0.869666667","0.048726276","9","0.91607","PPT1"
"230","P26022","Pentraxin-related protein PTX3 OS=Homo sapiens GN=PTX3 PE=1 SV=2","0.886352941","0.284890975","17","0.94345","PTX3"
"231","P62937","Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2","0.77662963","0.126111899","81","0.72718","PPIA"
"232","P23284","Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2","0.486333333","0.171675954","21","0.0132","PPIB"
"233","Q02790","Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3","0.66175","0.062601251","4","0.3741","FKBP4"
"234","Q92626","Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2","0.6271","0.254434209","10","0.16225","PXDN"
"235","Q06830","Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1","0.686333333","0.252236202","24","0.28605","PRDX1"
"236","P32119","Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5","0.69565625","0.309469224","32","0.30329","PRDX2"
"237","Q13162","Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1","0.267722222","0.11878691","18","0.0063","PRDX4"
"238","P30044","Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=3","0.648375","0.18392438","32","0.08658","PRDX5"
"239","P30041","Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3","0.58484252","0.130277508","127","0.0293","PRDX6"
"240","P30086","Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3","0.781181818","0.323580228","11","0.75185","PEBP1"
"241","P36871","Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3","0.904769231","0.128088611","13","0.95484","PGM1"
"242","P00558","Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3","0.964095808","0.348434697","167","0.98232","PGK1"
"243","P18669","Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2","0.763944444","0.217726886","18","0.70501","PGAM1"
"244","P55058","Phospholipid transfer protein OS=Homo sapiens GN=PLTP PE=1 SV=1","0.660214286","0.071724021","14","0.22862","PLTP"
"245","Q8NC51","Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1 PE=1 SV=2","0.9845","0.215716635","4","0.98856","SERBP1"
"246","Q14651","Plastin-1 OS=Homo sapiens GN=PLS1 PE=1 SV=2","0.5459","0.112622723","10","0.0343","PLS1"
"247","P13796","Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=5","0.404535714","0.123389621","28","0.00989","LCP1"
"248","Q15149","Plectin-1 OS=Homo sapiens GN=PLEC1 PE=1 SV=3","0.47964","0.211740866","50","0.01205","PLEC1"
"249","P09874","Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4","0.522125","0.069268499","8","0.02999","PARP1"
"250","P11940","Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2","0.9305","1.207042966","10","0.96907","PABPC1"
"251","Q10471","Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens GN=GALNT2 PE=1 SV=1","0.746916667","0.062182222","12","0.63643","GALNT2"
"252","P26599","Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1","0.63225","0.215345265","4","0.28919","PTBP1"
"253","Q9UKA9","Polypyrimidine tract-binding protein 2 OS=Homo sapiens GN=PTBP2 PE=1 SV=1","0.702142857","0.067846465","7","0.46814","PTBP2"
"254","P61758","Prefoldin subunit 3 OS=Homo sapiens GN=VBP1 PE=1 SV=3","0.769333333","0.112873085","3","0.67934","VBP1"
"255","P26196","Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2","0.825","0.111722871","2","0.78299","DDX6"
"256","Q9H3G5","Probable serine carboxypeptidase CPVL OS=Homo sapiens GN=CPVL PE=1 SV=2","0.739333333","0.150549826","9","0.60403","CPVL"
"257","Q9NQH7","Probable Xaa-Pro aminopeptidase 3 OS=Homo sapiens GN=XPNPEP3 PE=1 SV=1","0.73725","0.072169151","12","0.59393","XPNPEP3"
"258","Q02809","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens GN=PLOD1 PE=1 SV=2","0.793090909","0.131934655","22","0.80976","PLOD1"
"259","O00469","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens GN=PLOD2 PE=1 SV=2","1.02675","0.189248294","4","0.97971","PLOD2"
"260","P07737","Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2","0.615891566","0.089882717","83","0.01994","PFN1"
"261","P12004","Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1","0.692","0.162861905","3","0.48192","PCNA"
"262","Q9UQ80","Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3","0.568666667","0.052776257","3","0.17725","PA2G4"
"263","Q8NBP7","Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens GN=PCSK9 PE=1 SV=2","0.59795","0.065170606","20","0.04263","PCSK9"
"264","P25786","Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1","0.745555556","0.233995252","9","0.6257","PSMA1"
"265","P25787","Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2","0.7495","0.024852901","4","0.63504","PSMA2"
"266","P25788","Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2","0.872875","0.043965693","8","0.91572","PSMA3"
"267","P25789","Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1","0.697666667","0.214455053","12","0.41126","PSMA4"
"268","P28066","Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3","0.71","0.097580736","2","0.54633","PSMA5"
"269","P60900","Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1","0.890625","0.24931388","8","0.93385","PSMA6"
"270","O14818","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1","0.6495","0.08131728","2","0.39192","PSMA7"
"271","Q8TAA3","Proteasome subunit alpha type-7-like OS=Homo sapiens GN=PSMA8 PE=1 SV=3","0.68125","0.064126827","4","0.43447","PSMA8"
"272","P20618","Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2","0.951","0.271529004","2","0.94663","PSMB1"
"273","P49721","Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1","0.824666667","0.143842796","9","0.84963","PSMB2"
"274","P49720","Proteasome subunit beta type-3 OS=Homo sapiens GN=PSMB3 PE=1 SV=2","0.744","0.174579495","4","0.61802","PSMB3"
"275","P28070","Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4","0.5755","0.055861436","2","0.23527","PSMB4"
"276","P28074","Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3","0.823714286","0.197730215","7","0.83228","PSMB5"
"277","P28072","Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4","0.745","0.05939697","2","0.62672","PSMB6"
"278","Q99873","Protein arginine N-methyltransferase 1 OS=Homo sapiens GN=PRMT1 PE=1 SV=2","0.41975","0.115028159","12","0.01284","PRMT1"
"279","O00622","Protein CYR61 OS=Homo sapiens GN=CYR61 PE=1 SV=1","0.309785714","0.105947141","14","0.00643","CYR61"
"280","P30101","Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4","0.573573529","0.175129233","68","0.01655","PDIA3"
"281","P13667","Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2","0.527","0.004582576","3","0.1135","PDIA4"
"282","Q15084","Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1","0.476625","0.154650701","8","0.01711","PDIA6"
"283","Q99497","Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2","1.821142857","3.082799833","7","0.06041","PARK7"
"284","P21980","Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens GN=TGM2 PE=1 SV=2","0.470206897","0.189665943","29","0.01055","TGM2"
"285","P00491","Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2","0.615277778","0.124342414","18","0.07422","PNP"
"286","P55786","Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2","0.951125","0.535924152","8","0.97624","NPEPPS"
"287","Q14568","Putative heat shock protein HSP 90-alpha A2 OS=Homo sapiens GN=HSP90AA2 PE=1 SV=2","0.718933333","0.116405367","15","0.49857","HSP90AA2"
"288","Q58FG1","Putative heat shock protein HSP 90-alpha A4 OS=Homo sapiens GN=HSP90AA4P PE=5 SV=1","0.868111111","0.049090465","45","0.93115","HSP90AA4P"
"289","Q58FG0","Putative heat shock protein HSP 90-alpha A5 OS=Homo sapiens GN=HSP90AA5P PE=1 SV=1","0.82075","0.058433836","20","0.86977","HSP90AA5P"
"290","Q58FF8","Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens GN=HSP90AB2P PE=1 SV=2","0.862275862","0.166999295","58","0.91719","HSP90AB2P"
"291","Q58FF7","Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens GN=HSP90AB3P PE=5 SV=1","0.804625","0.174203552","48","0.83832","HSP90AB3P"
"292","P0C7M2","Putative heterogeneous nuclear ribonucleoprotein A1-like 3 OS=Homo sapiens GN=HNRPA1L3 PE=5 SV=1","0.588333333","0.03768731","3","0.21577","HNRPA1L3"
"293","B2RPK0","Putative high mobility group protein B1-like 1 OS=Homo sapiens GN=HMGB1L1 PE=5 SV=1","1.006944444","0.070970974","18","0.99715","HMGB1L1"
"294","O60361","Putative nucleoside diphosphate kinase OS=Homo sapiens GN=NME2P1 PE=5 SV=1","0.726434783","0.07832827","46","0.46781","NME2P1"
"295","Q5VYJ4","Putative small nuclear ribonucleoprotein polypeptide E-like protein 1 OS=Homo sapiens GN=SNRPEL1 PE=5 SV=1","0.529","0.064210591","3","0.11385","SNRPEL1"
"296","Q7Z6K2","Putative triosephosphate isomerase-like protein LOC286016 OS=Homo sapiens PE=1 SV=2","1.6255","0.495681854","2","0.31719","TPISL"
"297","Q9H853","Putative tubulin-like protein alpha-4B OS=Homo sapiens GN=TUBA4B PE=5 SV=2","0.54125","0.179713429","4","0.10021","TUBA4B"
"298","P14618","Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM2 PE=1 SV=4","1.088908537","1.103298617","164","0.94328","PKM2"
"299","P31150","Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2","0.798285714","0.14007226","7","0.78131","GDI1"
"300","P50395","Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2","0.683","0.0913236","6","0.41175","GDI2"
"301","P46940","Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1","0.5656","0.114150193","10","0.04898","IQGAP1"
"302","P62820","Ras-related protein Rab-1A OS=Homo sapiens GN=RAB1A PE=1 SV=3","0.561555556","0.127277366","9","0.05357","RAB1A"
"303","Q15286","Ras-related protein Rab-35 OS=Homo sapiens GN=RAB35 PE=1 SV=1","0.606375","0.152740618","8","0.13686","RAB35"
"304","P62834","Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1","0.5905","0.17460336","4","0.18652","RAP1A"
"305","P61225","Ras-related protein Rap-2b OS=Homo sapiens GN=RAP2B PE=1 SV=1","0.986333333","0.399677787","3","0.98751","RAP2B"
"306","O75787","Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2","1.0395","0.139300036","2","0.95902","ATP6AP2"
"307","P00352","Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2","0.6195","0.119501046","2","0.32684","ALDH1A1"
"308","O94788","Retinal dehydrogenase 2 OS=Homo sapiens GN=ALDH1A2 PE=1 SV=3","0.226","0.086305658","4","0.00552","ALDH1A2"
"309","P52565","Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3","0.92","0.285803254","5","0.94061","ARHGDIA"
"310","Q9Y5S9","RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1","0.6935","0.012020815","2","0.50837","RBM8A"
"311","P35637","RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1","0.418333333","0.090643992","3","0.02977","FUS"
"312","O75326","Semaphorin-7A OS=Homo sapiens GN=SEMA7A PE=1 SV=1","0.495","0.575064518","11","0.01838","SEMA7A"
"313","Q9NVA2","Septin-11 OS=Homo sapiens GN=SEPT11 PE=1 SV=3","0.46675","0.046017207","4","0.0351","SEPT11"
"314","P30153","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4","0.765","0.005656854","2","0.67409","PPP2R1A"
"315","P62136","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1","0.4235","0.023334524","2","0.05756","PPP1CA"
"316","O60524","Serologically defined colon cancer antigen 1 OS=Homo sapiens GN=SDCCAG1 PE=1 SV=4","0.66","0.014142136","2","0.42056","SDCCAG1"
"317","O75635","Serpin B7 OS=Homo sapiens GN=SERPINB7 PE=2 SV=1","1.254666667","0.696797538","15","0.80982","SERPINB7"
"318","P02768","Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2","0.1605","0.040045807","4","0.00451","ALB"
"319","A8MWD9","Small nuclear ribonucleoprotein G-like protein OS=Homo sapiens PE=3 SV=2","2.141","1.258650071","2","0.08811","SNRPGP15"
"320","P62314","Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens GN=SNRPD1 PE=1 SV=1","0.445","0.072124892","2","0.07336","SNRPD1"
"321","P62318","Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1","0.336666667","0.232680754","3","0.01208","SNRPD3"
"322","P11166","Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens GN=SLC2A1 PE=1 SV=2","0.4785","0.234052345","2","0.09976","SLC2A1"
"323","Q13838","Spliceosome RNA helicase BAT1 OS=Homo sapiens GN=BAT1 PE=1 SV=1","0.7035","0.057390475","4","0.50418","BAT1"
"324","P26368","Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4","0.641666667","0.128046346","6","0.27186","U2AF2"
"325","O76061","Stanniocalcin-2 OS=Homo sapiens GN=STC2 PE=1 SV=1","1.1475","0.030405592","2","0.8503","STC2"
"326","P38646","Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2","0.697","0.252911052","6","0.46102","HSPA9"
"327","O00391","Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3","0.537450617","0.14493747","162","0.03649","QSOX1"
"328","P78371","T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4","0.569333333","0.009291573","3","0.17751","CCT2"
"329","Q99832","T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2","0.48675","0.104748508","4","0.04748","CCT7"
"330","P49368","T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4","1.307","0.755145681","7","0.68953","CCT3"
"331","P50990","T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4","0.639545455","0.148910284","11","0.18811","CCT8"
"332","P40227","T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3","0.578666667","0.136287686","3","0.19498","CCT6A"
"333","P24821","Tenascin OS=Homo sapiens GN=TNC PE=1 SV=3","2.26","0.195161472","2","0.07088","TNC"
"334","Q16881","Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3","1.0075","0.447075311","4","0.99461","TXNRD1"
"335","P26639","Threonyl-tRNA synthetase, cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3","0.620583333","0.202830183","12","0.12389","TARS"
"336","P07996","Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2","0.690802993","0.085885669","802","0.03092","THBS1"
"337","P04066","Tissue alpha-L-fucosidase OS=Homo sapiens GN=FUCA1 PE=1 SV=4","0.836","0.133480336","5","0.83662","FUCA1"
"338","P00750","Tissue-type plasminogen activator OS=Homo sapiens GN=PLAT PE=1 SV=1","2.0035","0.574667121","6","0.03213","PLAT"
"339","P37837","Transaldolase OS=Homo sapiens GN=TALDO1 PE=1 SV=2","0.677","0.291408076","4","0.42456","TALDO1"
"340","P02786","Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2","0.55984058","0.144062754","69","0.01628","TFRC"
"341","P61812","Transforming growth factor beta-2 OS=Homo sapiens GN=TGFB2 PE=1 SV=1","0.5858","0.066098243","55","0.01978","TGFB2"
"342","P37802","Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3","0.795","0.153593155","29","0.82113","TAGLN2"
"343","P55072","Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4","0.66652","0.213762937","25","0.18452","VCP"
"344","P29401","Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3","1.298666667","3.165262278","63","0.71649","TKT"
"345","Q92616","Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=5","0.458","0.175527776","4","0.033","GCN1L1"
"346","P60174","Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=2","0.676980769","0.127625139","52","0.1255","TPI1"
"347","P23381","Tryptophanyl-tRNA synthetase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2","0.7005","0.067175144","2","0.52218","WARS"
"348","Q71U36","Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1","0.61448913","0.169433023","92","0.02181","TUBA1A"
"349","P68363","Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1","0.776125","0.02753407","8","0.72645","TUBA1B"
"350","P07437","Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2","0.574828571","0.096109155","35","0.01666","TUBB"
"351","Q9H4B7","Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1","0.608136364","0.084540943","22","0.04821","TUBB1"
"352","Q13885","Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1","0.919597222","1.975081882","72","0.94822","TUBB2A"
"353","P68371","Tubulin beta-2C chain OS=Homo sapiens GN=TUBB2C PE=1 SV=1","0.660317073","0.285821311","41","0.09377","TUBB2C"
"354","Q9GZM7","Tubulointerstitial nephritis antigen-like OS=Homo sapiens GN=TINAGL1 PE=1 SV=1","0.525708333","0.105122487","24","0.01568","TINAGL1"
"355","P54578","Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens GN=USP14 PE=1 SV=3","0.6325","0.079903066","2","0.35801","USP14"
"356","P62988","Ubiquitin OS=Homo sapiens GN=RPS27A PE=1 SV=1","0.765122807","0.139684347","57","0.69776","RPS27A"
"357","Q96FW1","Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=2","1.0905","0.036062446","2","0.90855","OTUB1"
"358","P62837","Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens GN=UBE2D2 PE=1 SV=1","0.589","0.177434495","3","0.21766","UBE2D2"
"359","P61088","Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1","0.418266667","0.11436687","15","0.01116","UBE2N"
"360","Q13404","Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens GN=UBE2V1 PE=1 SV=2","0.627571429","0.090985085","7","0.20692","UBE2V1"
"361","P22314","Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3","5.208333333","8.921694944","6","0.00388","UBA1"
"362","Q969H8","UPF0556 protein C19orf10 OS=Homo sapiens GN=C19orf10 PE=1 SV=1","0.601153846","0.212991332","13","0.07581","C19orf10"
"363","P00749","Urokinase-type plasminogen activator OS=Homo sapiens GN=PLAU PE=1 SV=2","0.449438849","0.146784576","139","0.03151","PLAU"
"364","P26640","Valyl-tRNA synthetase OS=Homo sapiens GN=VARS PE=1 SV=4","0.4065","0.358699967","4","0.01647","VARS"
"365","P18206","Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4","0.772939394","0.313072969","33","0.75036","VCL"
"366","P04004","Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1","0.026857143","0.018114714","7","0.00159","VTN"
"367","P13010","X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3","0.566461538","0.126538937","13","0.03783","XRCC5"
